tileID,img_date
16SFJ,20200909
16SFJ,20200910
16SGH,20200909
16SGH,20200910
16SGJ,20200909
16SGJ,20200910
16TFK,20200909
16TFK,20200910
16TFL,20200909
16TFL,20200910
16TFM,20200909
16TFM,20200910
16TGK,20200909
16TGK,20200910
16TGL,20200909
16TGL,20200910
16TGM,20200909
16TGM,20200910
17SKC,20200909
17SKC,20200910
17SKD,20200909
17SKD,20200910
17SLC,20200909
17SLC,20200910
17SLD,20200909
17SLD,20200910
17SMD,20200909
17SMD,20200910
17SND,20200909
17SND,20200910
17TKE,20200909
17TKE,20200910
17TKF,20200909
17TKF,20200910
17TKG,20200909
17TKG,20200910
17TLE,20200909
17TLE,20200910
17TLF,20200909
17TLF,20200910
17TLG,20200909
17TLG,20200910
17TME,20200909
17TME,20200910
17TMF,20200909
17TMF,20200910
17TMG,20200909
17TMG,20200910
17TNE,20200909
17TNE,20200910
17TNF,20200909
17TNF,20200910
17TNG,20200909
17TNG,20200910
